dataset_id,数据集编号,english_file,英文文件,chinese_file,中文文件,rows,行数,columns,列数,source_paths,来源路径
-_-__dataset__cb2f9f8c,-_-__dataset__cb2f9f8c,data_processed/english/-_-__dataset__cb2f9f8c_en.csv,data_processed/english/-_-__dataset__cb2f9f8c_en.csv,data_processed/chinese/-_-__dataset__cb2f9f8c_cn.csv,data_processed/chinese/-_-__dataset__cb2f9f8c_cn.csv,11,11,18,18,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/全国-中部-东部_数据汇总.xlsx,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/全国-中部-东部_数据汇总.xlsx
-__dataset__ad8f0b52,-__dataset__ad8f0b52,data_processed/english/-__dataset__ad8f0b52_en.csv,data_processed/english/-__dataset__ad8f0b52_en.csv,data_processed/chinese/-__dataset__ad8f0b52_cn.csv,data_processed/chinese/-__dataset__ad8f0b52_cn.csv,3445,3445,5,5,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间杜宾模型/更新空间杜宾实证代码/赠送的部分地级市矩阵/全国各地区-经纬度数据.xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/空间杜宾模型/更新空间杜宾实证代码/赠送的部分地级市矩阵/全国各地区-经纬度数据.xlsx
00-23_1__Sheet1__91347bd0,00-23_1__Sheet1__91347bd0,data_processed/english/00-23_1__Sheet1__91347bd0_en.csv,data_processed/english/00-23_1__Sheet1__91347bd0_en.csv,data_processed/chinese/00-23_1__Sheet1__91347bd0_cn.csv,data_processed/chinese/00-23_1__Sheet1__91347bd0_cn.csv,744,744,18,18,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/泰尔指数/00-23年各省泰尔.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/泰尔指数/00-23年各省泰尔(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/泰尔指数/00-23年各省泰尔.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/泰尔指数/00-23年各省泰尔(1).xlsx
00-23_GDP_1_1__Sheet1__fda38312,00-23_GDP_1_1__Sheet1__fda38312,data_processed/english/00-23_GDP_1_1__Sheet1__fda38312_en.csv,data_processed/english/00-23_GDP_1_1__Sheet1__fda38312_en.csv,data_processed/chinese/00-23_GDP_1_1__Sheet1__fda38312_cn.csv,data_processed/chinese/00-23_GDP_1_1__Sheet1__fda38312_cn.csv,720,720,8,8,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP(2).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP(1)(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP(2).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/00-23年各省能源消耗总量+人均能源消耗+能源消耗÷GDP(1)(1).xlsx
01-23_1__dataset__a609df64,01-23_1__dataset__a609df64,data_processed/english/01-23_1__dataset__a609df64_en.csv,data_processed/english/01-23_1__dataset__a609df64_en.csv,data_processed/chinese/01-23_1__dataset__a609df64_cn.csv,data_processed/chinese/01-23_1__dataset__a609df64_cn.csv,713,713,10,10,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/37、省从业一三值【2001-2023年】(1)/01-23分省份一二三产业数据(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/37、省从业一三值【2001-2023年】(1)/01-23分省份一二三产业数据.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/37、省从业一三值【2001-2023年】/01-23分省份一二三产业数据(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/37、省从业一三值【2001-2023年】/01-23分省份一二三产业数据.xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/37、省从业一三值【2001-2023年】(1)/01-23分省份一二三产业数据(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/37、省从业一三值【2001-2023年】(1)/01-23分省份一二三产业数据.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/37、省从业一三值【2001-2023年】/01-23分省份一二三产业数据(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/37、省从业一三值【2001-2023年】/01-23分省份一二三产业数据.xlsx
07-23_1__Sheet1__7f25f581,07-23_1__Sheet1__7f25f581,data_processed/english/07-23_1__Sheet1__7f25f581_en.csv,data_processed/english/07-23_1__Sheet1__7f25f581_en.csv,data_processed/chinese/07-23_1__Sheet1__7f25f581_cn.csv,data_processed/chinese/07-23_1__Sheet1__7f25f581_cn.csv,527,527,6,6,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/07-23各省环境保护支出.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/07-23各省环境保护支出(1).xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/07-23各省环境保护支出.xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/产业结构/07-23各省环境保护支出(1).xlsx
10_2000-2023_1__Sheet1__c3106a23,10_2000-2023_1__Sheet1__c3106a23,data_processed/english/10_2000-2023_1__Sheet1__c3106a23_en.csv,data_processed/english/10_2000-2023_1__Sheet1__c3106a23_en.csv,data_processed/chinese/10_2000-2023_1__Sheet1__c3106a23_cn.csv,data_processed/chinese/10_2000-2023_1__Sheet1__c3106a23_cn.csv,744,744,8,8,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(10)2000-2023年人口密度(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(10)2000-2023年人口密度.xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(10)2000-2023年人口密度(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/常用的控制变量/21常用控制变量数据/(10)2000-2023年人口密度.xls
1990-2022_1__Sheet1__59aad411,1990-2022_1__Sheet1__59aad411,data_processed/english/1990-2022_1__Sheet1__59aad411_en.csv,data_processed/english/1990-2022_1__Sheet1__59aad411_en.csv,data_processed/chinese/1990-2022_1__Sheet1__59aad411_cn.csv,data_processed/chinese/1990-2022_1__Sheet1__59aad411_cn.csv,1023,1023,7,7,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/数字服务贸易/各省数字贸易指数数据（1990-2022）(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/数字服务贸易/各省数字贸易指数数据（1990-2022）.xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/数字服务贸易/各省数字贸易指数数据（1990-2022）(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/数字服务贸易/各省数字贸易指数数据（1990-2022）.xlsx
1990-2023_1__Sheet1__acffca3e,1990-2023_1__Sheet1__acffca3e,data_processed/english/1990-2023_1__Sheet1__acffca3e_en.csv,data_processed/english/1990-2023_1__Sheet1__acffca3e_en.csv,data_processed/chinese/1990-2023_1__Sheet1__acffca3e_cn.csv,data_processed/chinese/1990-2023_1__Sheet1__acffca3e_cn.csv,1054,1054,13,13,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/全要素生产率/各省全要素生产率1990-2023(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/全要素生产率/各省全要素生产率1990-2023.xls,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/全要素生产率/各省全要素生产率1990-2023(1).xls; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/全要素生产率/各省全要素生产率1990-2023.xls
1997-2023_1__Sheet1__609bca3f,1997-2023_1__Sheet1__609bca3f,data_processed/english/1997-2023_1__Sheet1__609bca3f_en.csv,data_processed/english/1997-2023_1__Sheet1__609bca3f_en.csv,data_processed/chinese/1997-2023_1__Sheet1__609bca3f_cn.csv,data_processed/chinese/1997-2023_1__Sheet1__609bca3f_cn.csv,837,837,10,10,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/1997-2023年市场化指数和各分项指数(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/1997-2023年市场化指数和各分项指数.xlsx,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/1997-2023年市场化指数和各分项指数(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/2023市场化指数/1997-2023年市场化指数和各分项指数.xlsx
