dataset_id,数据集编号,source_repository,来源仓库,topic,研究主题,data_file_count,数据文件数,code_file_count,代码文件数,latest_repo_update,仓库最新更新时间,notes,备注
repo_001,kaggriculture,KarlHeinrich-jpg/kaggriculture,KarlHeinrich-jpg/kaggriculture,research data and code,经济金融研究,43,43,296,296,2026-09-15T05:00:06Z,2026-09-15T05:00:06Z,public source inventory,公开仓库盘点
repo_002,Digital-Economy-on-Regional-Green-Total-Factor-Productivity,KarlHeinrich-jpg/Digital-Economy-on-Regional-Green-Total-Factor-Productivity,KarlHeinrich-jpg/Digital-Economy-on-Regional-Green-Total-Factor-Productivity,research data and code,经济金融研究,86,86,16,16,2026-09-10T08:50:47Z,2026-09-10T08:50:47Z,public source inventory,公开仓库盘点
repo_003,Business-Plan-and-PPT,KarlHeinrich-jpg/Business-Plan-and-PPT,KarlHeinrich-jpg/Business-Plan-and-PPT,挑战杯和国创赛的一些商业计划书和PPT,挑战杯和国创赛的一些商业计划书和PPT,0,0,0,0,2026-09-09T03:13:51Z,2026-09-09T03:13:51Z,public source inventory,公开仓库盘点
repo_004,document-bridge,KarlHeinrich-jpg/document-bridge,KarlHeinrich-jpg/document-bridge,本地优先的 Word、LaTeX、Markdown 双向转换工具 · Local-first document converter,本地优先的 Word、LaTeX、Markdown 双向转换工具 · Local-first document converter,0,0,10,10,2026-09-09T00:03:55Z,2026-09-09T00:03:55Z,public source inventory,公开仓库盘点
repo_005,financial-stochastic-processes,KarlHeinrich-jpg/financial-stochastic-processes,KarlHeinrich-jpg/financial-stochastic-processes,research data and code,经济金融研究,0,0,0,0,2026-09-08T07:50:10Z,2026-09-08T07:50:10Z,public source inventory,公开仓库盘点
repo_006,python-tutorial,KarlHeinrich-jpg/python-tutorial,KarlHeinrich-jpg/python-tutorial,Python教程：按知识点整理的练习题（图片题已转写为文字）,Python教程：按知识点整理的练习题（图片题已转写为文字）,1,1,0,0,2026-09-06T01:43:10Z,2026-09-06T01:43:10Z,public source inventory,公开仓库盘点
repo_007,the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China,KarlHeinrich-jpg/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China,KarlHeinrich-jpg/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China,Spatiotemporal Evolution and Influencing Factors of Regional Resilience in China: Evidence from Provincial Panel Data Using Spearman-CRITIC and XGBoost-CatBoost-SHAP",Spatiotemporal Evolution and Influencing Factors of Regional Resilience in China: Evidence from Provincial Panel Data Using Spearman-CRITIC and XGBoost-CatBoost-SHAP",40,40,24,24,2026-09-04T04:01:49Z,2026-09-04T04:01:49Z,public source inventory,公开仓库盘点
repo_008,course-materials,KarlHeinrich-jpg/course-materials,KarlHeinrich-jpg/course-materials,北京工商大学课程资料共享库｜讲义、试卷、笔记、代码与数据,北京工商大学课程资料共享库｜讲义、试卷、笔记、代码与数据,5,5,4,4,2026-09-01T11:52:33Z,2026-09-01T11:52:33Z,public source inventory,公开仓库盘点
repo_009,yile-wang-research-collection,KarlHeinrich-jpg/yile-wang-research-collection,KarlHeinrich-jpg/yile-wang-research-collection,王毅乐（Yile Wang）个人论文集 · GitBook-style GitHub Pages edition,王毅乐（Yile Wang）个人论文集 · GitBook-style GitHub Pages edition,7,7,0,0,2026-09-01T11:32:17Z,2026-09-01T11:32:17Z,public source inventory,公开仓库盘点
repo_010,causal-context-engine,KarlHeinrich-jpg/causal-context-engine,KarlHeinrich-jpg/causal-context-engine,Constraint-aware context planning for LLM agents: score, compress and place evidence without breaking causality.,Constraint-aware context planning for LLM agents: score, compress and place evidence without breaking causality.,5,5,0,0,2026-09-01T09:41:17Z,2026-09-01T09:41:17Z,public source inventory,公开仓库盘点
repo_011,KarlHeinrich-jpg.github.io,KarlHeinrich-jpg/KarlHeinrich-jpg.github.io,KarlHeinrich-jpg/KarlHeinrich-jpg.github.io,research data and code,经济金融研究,0,0,0,0,2026-09-01T09:23:27Z,2026-09-01T09:23:27Z,public source inventory,公开仓库盘点
repo_012,research-guide-gitbook,KarlHeinrich-jpg/research-guide-gitbook,KarlHeinrich-jpg/research-guide-gitbook,科研新生工具生存手册：科研软件、效率工具与 GitHub 使用指南,科研新生工具生存手册：科研软件、效率工具与 GitHub 使用指南,3,3,0,0,2026-09-01T09:17:18Z,2026-09-01T09:17:18Z,public source inventory,公开仓库盘点
repo_013,Research-on-Credit-Default-Risk-Assessment-Based-on-a-Stacking-Ensemble-Model,KarlHeinrich-jpg/Research-on-Credit-Default-Risk-Assessment-Based-on-a-Stacking-Ensemble-Model,KarlHeinrich-jpg/Research-on-Credit-Default-Risk-Assessment-Based-on-a-Stacking-Ensemble-Model,The data of Research on Credit Default Risk Assessment Based on a Stacking Ensemble Model,The data of Research on Credit Default Risk Assessment Based on a Stacking Ensemble Model,0,0,0,0,2026-08-27T17:10:30Z,2026-08-27T17:10:30Z,public source inventory,公开仓库盘点
